Price,Close,High,Low,Open,Volume
Ticker,TMCV,TMCV,TMCV,TMCV,TMCV
Date,,,,,
2000-01-03,3.3533947467803955,3.6577168216930676,3.3533947467803955,3.3533947467803955,6000
2000-01-04,3.4138693809509277,3.4138693809509277,3.4138693809509277,3.4138693809509277,200
2000-01-05,3.4138693809509277,3.4138693809509277,3.3533950879976993,3.4138693809509277,3000
2000-01-06,3.1700217723846436,3.4138696010296163,3.1700217723846436,3.1700217723846436,8000
2000-01-07,3.65771746635437,3.65771746635437,3.1700218041737873,3.65771746635437,600
2000-01-10,3.65771746635437,3.65771746635437,3.65771746635437,3.65771746635437,0
2000-01-11,3.4753189086914062,3.4753189086914062,3.4753189086914062,3.4753189086914062,5600
2000-01-12,2.4384779930114746,3.657716989517212,2.4384779930114746,2.4384779930114746,12000
2000-01-13,3.9015653133392334,3.9015653133392334,3.170021817088127,3.9015653133392334,2200
2000-01-14,3.9015653133392334,3.9015653133392334,3.9015653133392334,3.9015653133392334,4400
2000-01-18,3.9015653133392334,3.9015653133392334,3.9015653133392334,3.9015653133392334,0
2000-01-19,3.9015653133392334,3.9015653133392334,3.9015653133392334,3.9015653133392334,0
2000-01-20,3.9015653133392334,3.9015653133392334,3.9015653133392334,3.9015653133392334,0
2000-01-21,3.1700217723846436,3.1700217723846436,3.109547475532876,3.1700217723846436,12000
2000-01-24,3.1700217723846436,3.1700217723846436,3.1700217723846436,3.1700217723846436,0
2000-01-25,3.1700217723846436,3.1700217723846436,3.1700217723846436,3.1700217723846436,0
2000-01-26,3.1700217723846436,3.1700217723846436,3.1700217723846436,3.1700217723846436,0
2000-01-27,3.1700217723846436,3.1700217723846436,3.1700217723846436,3.1700217723846436,0
2000-01-28,3.1700217723846436,3.1700217723846436,3.1700217723846436,3.1700217723846436,0
2000-01-31,3.1700217723846436,3.1700217723846436,3.1700217723846436,3.1700217723846436,0
2000-02-01,3.1700217723846436,3.1700217723846436,3.1700217723846436,3.1700217723846436,0
2000-02-02,3.106621026992798,3.1095472211616895,3.106621026992798,3.106621026992798,4400
2000-02-03,3.106621026992798,3.106621026992798,3.106621026992798,3.106621026992798,0
2000-02-04,3.65771746635437,3.65771746635437,3.65771746635437,3.65771746635437,2000
2000-02-07,3.65771746635437,3.65771746635437,3.65771746635437,3.65771746635437,0
2000-02-08,3.65771746635437,3.65771746635437,3.65771746635437,3.65771746635437,0
2000-02-09,3.1700217723846436,3.9015652583195615,3.1700217723846436,3.1700217723846436,800
2000-02-10,3.1700217723846436,3.1700217723846436,3.1700217723846436,3.1700217723846436,0
2000-02-11,3.1700217723846436,3.1700217723846436,3.1700217723846436,3.1700217723846436,0
