Price,Close,High,Low,Open,Volume
Ticker,FT,FT,FT,FT,FT
Date,,,,,
2000-01-03,1.0270673036575317,1.0455730208405505,1.0085615864745132,1.0178144450660225,95900
2000-01-04,1.008561611175537,1.0363201876299097,0.999308752357413,1.0178144699936613,63000
2000-01-05,1.0455728769302368,1.0548257342482035,1.00856144765837,1.00856144765837,87300
2000-01-06,1.0825848579406738,1.0825848579406738,1.04557340980595,1.04557340980595,95000
2000-01-07,1.0825848579406738,1.091837719974355,1.064079133873312,1.0825848579406738,48700
2000-01-10,1.1103425025939941,1.1103425025939941,1.0825839400291444,1.0825839400291444,62100
2000-01-11,1.073331356048584,1.1103427821192249,1.073331356048584,1.1010899256015645,69100
2000-01-12,1.045986533164978,1.0646648641143526,1.0366473676902908,1.045986533164978,55400
2000-01-13,1.0273079872131348,1.055325477773493,1.0273079872131348,1.055325477773493,65100
2000-01-14,1.0179688930511475,1.0459863855204452,1.0179688930511475,1.0366472213640125,108800
2000-01-18,1.0179688930511475,1.0179688930511475,1.008629728894715,1.0179688930511475,53500
2000-01-19,0.999290406703949,1.0179687320629014,0.9992904067039491,1.0179687320629014,59100
2000-01-20,1.0086296796798706,1.01796884338061,0.999290515979131,0.999290515979131,39700
2000-01-21,1.0273079872131348,1.0273079872131348,0.9992904966527766,1.008629660172896,52500
2000-01-24,1.0273079872131348,1.0273079872131348,1.008629660172896,1.0179688236930153,58500
2000-01-25,1.0179688930511475,1.0273080572075801,1.008629728894715,1.0179688930511475,71100
2000-01-26,1.045986533164978,1.045986533164978,1.017969036740916,1.0273082022156033,52500
2000-01-27,1.0740031003952026,1.0833422577899434,1.036646470816239,1.036646470816239,48100
2000-01-28,1.0646649599075317,1.0833432925374884,1.0553257935925533,1.07400412622251,45000
2000-01-31,1.0740031003952026,1.0833422577899434,1.0553247856057208,1.0646639430004616,38900
2000-02-01,1.0646649599075317,1.0833432925374884,1.0646649599075317,1.07400412622251,48600
2000-02-02,1.0553255081176758,1.07400383569498,1.0553255081176758,1.064664671906328,46200
2000-02-03,1.0740031003952026,1.0833422577899434,1.0646639430004616,1.0740031003952026,53500
2000-02-04,1.0646649599075317,1.0833432925374884,1.0553257935925533,1.07400412622251,44700
2000-02-07,1.0553255081176758,1.07400383569498,1.0459863443290238,1.0553255081176758,70000
2000-02-08,1.0553255081176758,1.07400383569498,1.0459863443290238,1.064664671906328,80500
2000-02-09,1.0366475582122803,1.0553258925944835,1.0273083910211787,1.0553258925944835,55800
2000-02-10,1.0273079872131348,1.055325477773493,1.0273079872131348,1.0273079872131348,95100
2000-02-11,1.0468491315841675,1.0468491315841675,1.0279869850691374,1.0279869850691374,40200
2000-02-14,1.0374183654785156,1.0468494415283205,1.0374183654785156,1.0468494415283205,32700
2000-02-15,1.018556833267212,1.0374189968462344,1.018556833267212,1.0374189968462344,54900
2000-02-16,1.0374183654785156,1.0562805175781251,1.027987289428711,1.0468494415283205,85500
2000-02-17,1.018556833267212,1.0374189968462344,0.9996946696881894,1.0374189968462344,126100
2000-02-18,0.9996935725212097,1.0185557153989684,0.9902625010823304,1.0185557153989684,71700
2000-02-22,0.9902628660202026,0.9996939409346808,0.9808317911057246,0.9996939409346808,94300
2000-02-23,0.9996935725212097,1.009124643960089,0.980831429643451,0.980831429643451,45500
2000-02-24,0.9996935725212097,1.009124643960089,0.9902625010823304,0.9996935725212097,30800
2000-02-25,0.9902628660202026,1.009125015849159,0.9808317911057246,0.9996939409346808,46200
2000-02-28,0.9808316230773926,0.9902626963762137,0.9714005497785715,0.9808316230773926,91300
2000-02-29,0.9902628660202026,0.9902628660202027,0.9714007161912465,0.9808317911057246,58500
2000-03-01,0.9714004993438721,0.9902626449621996,0.971400499343872,0.9808315721530358,52000
2000-03-02,0.9714004993438721,0.9902626449621996,0.971400499343872,0.971400499343872,32700
2000-03-03,0.9714004993438721,0.9902626449621996,0.971400499343872,0.9808315721530358,40500
2000-03-06,0.9808316230773926,0.9902626963762137,0.9714005497785715,0.9808316230773926,56000
2000-03-07,0.9714004993438721,0.9902626449621996,0.971400499343872,0.9808315721530358,60300
