Price,Close,High,Low,Open,Volume
Ticker,ABP,ABP,ABP,ABP,ABP
Date,,,,,
2022-03-09,297.0,297.6000061035156,297.0,297.6000061035156,53
2022-03-10,297.6000061035156,297.6000061035156,297.6000061035156,297.6000061035156,57
2022-03-11,296.1300048828125,296.8500061035156,296.1000061035156,296.3999938964844,40
2022-03-14,296.3999938964844,296.3999938964844,296.3999938964844,296.3999938964844,7
2022-03-15,296.3999938964844,296.3999938964844,296.3999938964844,296.3999938964844,0
2022-03-16,297.1499938964844,297.1499938964844,297.1499938964844,297.1499938964844,7
2022-03-17,297.0,297.0,296.3999938964844,296.3999938964844,10
2022-03-18,297.0,297.0,297.0,297.0,0
2022-03-21,296.70001220703125,296.70001220703125,296.70001220703125,296.70001220703125,520
2022-03-22,296.70001220703125,296.70001220703125,296.70001220703125,296.70001220703125,0
2022-03-23,296.70001220703125,296.70001220703125,296.70001220703125,296.70001220703125,0
2022-03-24,297.29998779296875,297.29998779296875,297.0,297.0,3787
2022-03-25,298.5,298.5,297.29998779296875,297.29998779296875,273
2022-03-28,298.5,298.5,298.5,298.5,0
2022-03-29,297.6300048828125,297.6300048828125,297.6300048828125,297.6300048828125,3
2022-03-30,297.6300048828125,297.6300048828125,297.6300048828125,297.6300048828125,0
2022-03-31,297.6300048828125,297.6300048828125,297.6300048828125,297.6300048828125,0
2022-04-01,297.6000061035156,297.6000061035156,297.3599853515625,297.6000061035156,333
2022-04-04,297.6000061035156,297.6000061035156,297.6000061035156,297.6000061035156,67
2022-04-05,298.5,298.5,297.8999938964844,297.8999938964844,113
2022-04-06,298.5,298.5,298.5,298.5,0
2022-04-07,297.8999938964844,297.8999938964844,297.8999938964844,297.8999938964844,667
2022-04-08,299.1000061035156,299.1000061035156,297.8999938964844,297.8999938964844,190
2022-04-11,299.1000061035156,299.1000061035156,299.1000061035156,299.1000061035156,0
2022-04-12,299.1000061035156,299.1000061035156,299.1000061035156,299.1000061035156,0
2022-04-13,299.1000061035156,299.1000061035156,299.1000061035156,299.1000061035156,0
2022-04-14,299.70001220703125,299.70001220703125,299.70001220703125,299.70001220703125,10
